epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,52984.7,1.1137,0.64861,0.00083,0.85541,0.79479,0.87093,0.66078,0.98221,0.65763,0.00108,0.00864019,0.00288006,0.00864019,0.00288006,0.00864019,0.00288006,0.00864019,0.00288006
31,54731.7,1.10197,0.63541,0.00083,0.85991,0.79029,0.87055,0.66067,0.98127,0.66078,0.00108,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,56478.5,1.09071,0.62202,0.00081,0.86023,0.79014,0.87048,0.66065,0.98105,0.66171,0.00108,0.00684599,0.002282,0.00684599,0.002282,0.00684599,0.002282,0.00684599,0.002282
33,58224.7,1.08483,0.61318,0.0008,0.85945,0.78981,0.87014,0.66037,0.9813,0.66251,0.00108,0.00600743,0.00200248,0.00600743,0.00200248,0.00600743,0.00200248,0.00600743,0.00200248
34,59973.1,1.0799,0.60785,0.00079,0.85662,0.79223,0.86981,0.6605,0.98185,0.66456,0.00108,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
35,61722.2,1.06924,0.59045,0.00079,0.85896,0.79096,0.86933,0.6597,0.98155,0.66754,0.00108,0.0044678,0.00148927,0.0044678,0.00148927,0.0044678,0.00148927,0.0044678,0.00148927
36,63505.1,1.00955,0.5482,0.00084,0.85492,0.79323,0.86836,0.6589,0.98185,0.67079,0.00108,0.00377424,0.00125808,0.00377424,0.00125808,0.00377424,0.00125808,0.00377424,0.00125808
37,65244.3,1.00256,0.5384,0.00083,0.85971,0.78834,0.86644,0.65826,0.98208,0.67326,0.00108,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
38,66984,0.99399,0.52675,0.00082,0.85891,0.78787,0.8659,0.65753,0.98198,0.67631,0.00108,0.00255649,0.000852162,0.00255649,0.000852162,0.00255649,0.000852162,0.00255649,0.000852162
39,68722.2,0.98688,0.51851,0.00081,0.86067,0.78706,0.86572,0.6571,0.9827,0.67829,0.00108,0.00203823,0.000679409,0.00203823,0.000679409,0.00203823,0.000679409,0.00203823,0.000679409
40,70461.1,0.97717,0.51018,0.0008,0.85904,0.78885,0.86554,0.65664,0.9835,0.67979,0.00108,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
41,72199.5,0.97428,0.50448,0.00079,0.86279,0.7863,0.86535,0.65634,0.98365,0.68246,0.00109,0.00119556,0.000398522,0.00119556,0.000398522,0.00119556,0.000398522,0.00119556,0.000398522
